Name,HolidayType,Month,Day
Cyber Monday,Observance,11,28
St Nicholas Day,Observance,12,6
Pearl Harbor Remembrance Day,Observance,12,7
Feast of the Immaculate Conception,Christian,12,8
Feast of Our Lady of Guadalupe,Observance,12,12
U.S. National Guard Birthday,Observance,12,13
Pan American Aviation Day,Observance,12,17
Wright Brothers Day,Observance,12,17
December Solstice,Season,12,21
Christmas Eve,"Observance, Christian",12,24
Chanukah/Hanukkah (first day),Jewish holiday,12,25
Christmas Day,Federal Holiday,12,25
Kwanzaa (until Jan 1),Observance,12,26
Day After Christmas Day,State holiday,12,26
New Years Eve,Observance,12,31
